nl,nl type,chart,table name,database,label,column,filter,aggregate,mark,encoding,sort
Show me the voting percentage for each election.,abstract,Bar,election,election_representative,mark bar data election encoding x date y aggregate none vote_percent,"Date,Vote_Percent",none,none,bar,"x=Date,y=Vote_Percent,color=none",none
Show me the votes by date.,abstract,Pie,election,election_representative,mark arc data election encoding x date y aggregate none vote_percent,"Date,Vote_Percent",none,none,arc,"x=Date,y=Vote_Percent,color=none",none
Votes by date.,abstract,Pie,election,election_representative,mark arc data election encoding x date y aggregate none vote_percent,"Date,Vote_Percent",none,none,arc,"x=Date,y=Vote_Percent,color=none",none
What is the party breakdown of representatives? ,abstract,Bar,representative,election_representative,mark bar data representative encoding x party y aggregate count party transform group x ,Party,none,count Party,bar,"x=Party,y=count Party,color=none",none
Show me the party distribution.,abstract,Bar,representative,election_representative,mark bar data representative encoding x party y aggregate count party transform group x,Party,none,count Party,bar,"x=Party,y=count Party,color=none",none
What's the breakdown of full-time and part-time staff? ,abstract,Bar,hiring,employee_hire_evaluation,mark bar data hiring encoding x is_full_time y aggregate count is_full_time transform group x ,Is_full_time,none,count Is_full_time,bar,"x=Is_full_time,y=count Is_full_time,color=none",none
Make me a graph of Is_full_time and the sum of Employee_ID.,abstract,Pie,hiring,employee_hire_evaluation,mark arc data hiring encoding x is_full_time y aggregate sum employee_id transform group x,"Is_full_time,Employee_ID",none,sum Employee_ID,arc,"x=Is_full_time,y=sum Employee_ID,color=none",none
"Give me a plot of shop and employee data,  indicating by full-time or part-time status.",abstract,Grouping Scatter,hiring,employee_hire_evaluation,mark point data hiring encoding x shop_id y aggregate none employee_id transform group is_full_time,"Shop_ID,Employee_ID,Is_full_time",none,none,point,"x=Shop_ID,y=Employee_ID,color=Is_full_time",none
How do Shop_ID and Employee_ID correlate?,abstract,Scatter,hiring,employee_hire_evaluation,mark point data hiring encoding x shop_id y aggregate none employee_id,"Shop_ID,Employee_ID",none,none,point,"x=Shop_ID,y=Employee_ID,color=none",none
Compare investor investments.,abstract,Bar,entrepreneur,entrepreneur,mark bar data entrepreneur encoding x investor y aggregate count investor transform group x ,Investor,none,count Investor,bar,"x=Investor,y=count Investor,color=none",none
Graph of investors and their investments.,abstract,Bar,entrepreneur,entrepreneur,mark bar data entrepreneur encoding x investor y aggregate count investor transform group x,Investor,none,count Investor,bar,"x=Investor,y=count Investor,color=none",none
Show me a diagram of the investors' investments.,abstract,Pie,entrepreneur,entrepreneur,mark arc data entrepreneur encoding x investor y aggregate count investor transform group x,Investor,none,count Investor,arc,"x=Investor,y=count Investor,color=none",none
How many people live in each city and what's the status?,abstract,Bar,city,farm,mark bar data city encoding x status y aggregate mean population transform group x ,"Status,Population",none,mean Population,bar,"x=Status,y=mean Population,color=none",none
Graph the city statuses and population.,abstract,Bar,city,farm,mark bar data city encoding x status y aggregate mean population transform group x,"Status,Population",none,mean Population,bar,"x=Status,y=mean Population,color=none",none
What do the population of each status look like?,abstract,Pie,city,farm,mark arc data city encoding x status y aggregate mean population transform group x,"Status,Population",none,mean Population,arc,"x=Status,y=mean Population,color=none",none
Can I see a chart of the population and status?,abstract,Pie,city,farm,mark arc data city encoding x status y aggregate mean population transform group x,"Status,Population",none,mean Population,arc,"x=Status,y=mean Population,color=none",none
Visualize the estimates for film markets.,abstract,Scatter,film_market_estimation,film_rank,mark point data film_market_estimation encoding x low_estimate y aggregate none high_estimate,"Low_Estimate,High_Estimate",none,none,point,"x=Low_Estimate,y=High_Estimate,color=none",none
Show me the number of flights to each destination.,abstract,Bar,Flight,flight_1,mark bar data flight encoding x destination y aggregate count destination transform group x ,destination,none,count destination,bar,"x=destination,y=count destination,color=none",none
How many flights with a price of over 300 to each destination?,abstract,Pie,Flight,flight_1,mark arc data flight encoding x destination y aggregate count destination transform filter price > 300 group x,destination,price gt 300,count destination,arc,"x=destination,y=count destination,color=none",none
Make me a graph of flights with fares higher than 300 by destination.,abstract,Bar,Flight,flight_1,mark bar data flight encoding x destination y aggregate count destination transform filter price > 300 group x ,destination,price gt 300,count destination,bar,"x=destination,y=count destination,color=none",none
Compare aircraft distances.,abstract,Bar,Aircraft,flight_1,mark bar data aircraft encoding x name y aggregate none distance,"name,distance",none,none,bar,"x=name,y=distance,color=none",none
Show me the flight count per pilot.,abstract,Pie,flight,flight_company,mark arc data flight encoding x pilot y aggregate count pilot transform group x,Pilot,none,count Pilot,arc,"x=Pilot,y=count Pilot,color=none",none
Display the IDs and locations of circuits in France or Belgium.,abstract,Bar,circuits,formula_1,"mark bar data circuits encoding x location y aggregate none circuitid transform filter country = ""france"" or country = ""belgium""","location,circuitId","country = ""France"" or country = ""Belgium""",none,bar,"x=location,y=circuitId,color=none",none
Show me the IDs and locations of circuits in France or Belgium.,abstract,Bar,circuits,formula_1,"mark bar data circuits encoding x location y aggregate none circuitid transform filter country = ""france"" or country = ""belgium"" ","location,circuitId","country = ""France"" or country = ""Belgium""",none,bar,"x=location,y=circuitId,color=none",none
What's the distribution of races these days?,abstract,Bar,races,formula_1,mark bar data races encoding x name y aggregate count name transform filter year between 2009 and 2011 group x ,name,year gte 2009,count name,bar,"x=name,y=count name,color=none",none
Show me the races recently. ,abstract,Bar,races,formula_1,mark bar data races encoding x name y aggregate count name transform filter year between 2009 and 2011 group x,name,year gte 2009,count name,bar,"x=name,y=count name,color=none",none
What is the trend of gas station numbers for each manager?,abstract,Bar,gas_station,gas_company,mark bar data gas_station encoding x manager_name y aggregate count manager_name transform group x ,Manager_Name,none,count Manager_Name,bar,"x=Manager_Name,y=count Manager_Name,color=none",none
What's the distribution of gas stations by the manager?,abstract,Bar,gas_station,gas_company,mark bar data gas_station encoding x manager_name y aggregate count manager_name transform group x,Manager_Name,none,count Manager_Name,bar,"x=Manager_Name,y=count Manager_Name,color=none",none
Visualize a chart of the primary affiliation of physicians and departments.,abstract,Scatter,affiliated_with,hospital_1,mark point data affiliated_with encoding x physician y aggregate none department transform filter primaryaffiliation = 1,"Physician,Department",PrimaryAffiliation = 1,none,point,"x=Physician,y=Department,color=none",none
Can you draw a chart illustrating the different state provinces and the count?,abstract,Bar,locations,hr_1,mark bar data locations encoding x state_province y aggregate count state_province transform group x,STATE_PROVINCE,none,count STATE_PROVINCE,bar,"x=STATE_PROVINCE,y=count STATE_PROVINCE,color=none",none
Can I get a chart of jobs and their salary ranges with a maximum salary between 12000-18000?,abstract,Bar,jobs,hr_1,mark bar data jobs encoding x job_title y aggregate none max_salary - min_salary transform filter max_salary between 12000 and 18000 ,"JOB_TITLE,MAX_SALARY",MAX_SALARY gte 12000 and MAX_SALARY lte 18000,none,bar,"x=JOB_TITLE,y=MAX_SALARY - MIN_SALARY,color=none",none
I want to know jobs and salary ranges with max salary in the 12k-18k in a chart.,abstract,Pie,jobs,hr_1,mark arc data jobs encoding x job_title y aggregate none max_salary - min_salary transform filter max_salary between 12000 and 18000,"JOB_TITLE,MAX_SALARY",MAX_SALARY gte 12000 and MAX_SALARY lte 18000,none,arc,"x=JOB_TITLE,y=MAX_SALARY - MIN_SALARY,color=none",none
"Make a graph of the countries, in name descending order.",abstract,Bar,countries,hr_1,mark bar data countries encoding x country_name y aggregate count country_name transform group x sort x desc,COUNTRY_NAME,none,count COUNTRY_NAME,bar,"x=COUNTRY_NAME,y=count COUNTRY_NAME,color=none",x desc
Can I get a visualization of country names?,abstract,Bar,countries,hr_1,mark bar data countries encoding x country_name y aggregate count country_name transform group x,COUNTRY_NAME,none,count COUNTRY_NAME,bar,"x=COUNTRY_NAME,y=count COUNTRY_NAME,color=none",none
What's the ratio of the countries?,abstract,Pie,countries,hr_1,mark arc data countries encoding x country_name y aggregate count country_name transform group x,COUNTRY_NAME,none,count COUNTRY_NAME,arc,"x=COUNTRY_NAME,y=count COUNTRY_NAME,color=none",none
Sort the rooms by bed type.,abstract,Bar,Rooms,inn_1,mark bar data rooms encoding x bedtype y aggregate count bedtype transform group x sort x asc,bedType,none,count bedType,bar,"x=bedType,y=count bedType,color=none",x asc
Display the decor frequency of king bedrooms.,abstract,Pie,Rooms,inn_1,mark arc data rooms encoding x decor y aggregate count decor transform filter bedtype = 'king' group x,decor,"bedType = ""King""",count decor,arc,"x=decor,y=count decor,color=none",none
How many policies are there for each type?,abstract,Bar,policies,insurance_and_eClaims,mark bar data policies encoding x policy_type_code y aggregate count policy_type_code transform group x,Policy_Type_Code,none,count Policy_Type_Code,bar,"x=Policy_Type_Code,y=count Policy_Type_Code,color=none",none
Give me a breakdown of the policies by type.,abstract,Bar,policies,insurance_and_eClaims,mark bar data policies encoding x policy_type_code y aggregate count policy_type_code transform group x,Policy_Type_Code,none,count Policy_Type_Code,bar,"x=Policy_Type_Code,y=count Policy_Type_Code,color=none",none
What's the breakdown of policies by type code?,abstract,Pie,policies,insurance_and_eClaims,mark arc data policies encoding x policy_type_code y aggregate count policy_type_code transform group x,Policy_Type_Code,none,count Policy_Type_Code,arc,"x=Policy_Type_Code,y=count Policy_Type_Code,color=none",none
What is the distribution of payment methods?,abstract,Bar,Payments,insurance_policies,mark bar data payments encoding x payment_method_code y aggregate count payment_method_code transform group x,Payment_Method_Code,none,count Payment_Method_Code,bar,"x=Payment_Method_Code,y=count Payment_Method_Code,color=none",none
Graph the payment amounts proportion per payment method.,abstract,Pie,Payments,insurance_policies,mark arc data payments encoding x payment_method_code y aggregate sum amount_payment transform group x,"Payment_Method_Code,Amount_Payment",none,sum Amount_Payment,arc,"x=Payment_Method_Code,y=sum Amount_Payment,color=none",none
What's the pattern of average payments over time?,abstract,Line,Payments,insurance_policies,mark line data payments encoding x date_payment_made y aggregate mean amount_payment transform group x ,"Date_Payment_Made,Amount_Payment",none,mean Amount_Payment,line,"x=Date_Payment_Made,y=mean Amount_Payment,color=none",none
Can I get a chart of Visa payments?,abstract,Scatter,Payments,insurance_policies,mark point data payments encoding x payment_id y aggregate none amount_payment transform filter payment_method_code = 'visa',"Payment_ID,Amount_Payment",Payment_Method_Code = 'Visa',none,point,"x=Payment_ID,y=Amount_Payment,color=none",none
How has the frequency of the claim dates changed?,abstract,Line,Settlements,insurance_policies,mark line data settlements encoding x date_claim_settled y aggregate count date_claim_settled transform group x ,Date_Claim_Settled,none,count Date_Claim_Settled,line,"x=Date_Claim_Settled,y=count Date_Claim_Settled,color=none",none
"Graph the name attribute, from low to high.",abstract,Bar,editor,journal_committee,mark bar data editor encoding x name y aggregate count name transform group x sort y asc,Name,none,count Name,bar,"x=Name,y=count Name,color=none",y asc
Visualize the amount of names. ,abstract,Bar,editor,journal_committee,mark bar data editor encoding x name y aggregate count name transform group x,Name,none,count Name,bar,"x=Name,y=count Name,color=none",none
What's the average account balance of customers with credit scores under 50 by type of account?,abstract,Pie,customer,loan_1,mark arc data customer encoding x acc_type y aggregate mean acc_bal transform filter credit_score < 50 group x,"acc_type,acc_bal",credit_score lt 50,mean acc_bal,arc,"x=acc_type,y=mean acc_bal,color=none",none
How many items are there based on the type of thing? In asc order.,abstract,Bar,Things,local_govt_and_lot,mark bar data things encoding x type_of_thing_code y aggregate count type_of_thing_code transform group x sort y asc,Type_of_Thing_Code,none,count Type_of_Thing_Code,bar,"x=Type_of_Thing_Code,y=count Type_of_Thing_Code,color=none",y asc
Chart the count of each type of thing.,abstract,Bar,Things,local_govt_and_lot,mark bar data things encoding x type_of_thing_code y aggregate count type_of_thing_code transform group x,Type_of_Thing_Code,none,count Type_of_Thing_Code,bar,"x=Type_of_Thing_Code,y=count Type_of_Thing_Code,color=none",none
Show me a chart of resident details.,abstract,Bar,Residents,local_govt_and_lot,mark bar data residents encoding x other_details y aggregate none resident_id,"other_details,resident_id",none,none,bar,"x=other_details,y=resident_id,color=none",none
Show me the events and their properties.,abstract,Scatter,customer_events,local_govt_and_lot,mark point data customer_events encoding x customer_event_id y aggregate none property_id,"Customer_Event_ID,property_id",none,none,point,"x=Customer_Event_ID,y=property_id,color=none",none
Make a chart showing the participant info with IDs in asc order.,abstract,Bar,Participants,local_govt_in_alabama,mark bar data participants encoding x participant_details y aggregate none participant_id transform sort x asc,"Participant_Details,Participant_ID",none,none,bar,"x=Participant_Details,y=Participant_ID,color=none",x asc
"Display the count of event details, from low to high.",abstract,Bar,EVENTS,local_govt_in_alabama,mark bar data events encoding x event_details y aggregate count event_details transform group x sort y asc,Event_Details,none,count Event_Details,bar,"x=Event_Details,y=count Event_Details,color=none",y asc
Give me a graph of each event's details count.,abstract,Bar,EVENTS,local_govt_in_alabama,mark bar data events encoding x event_details y aggregate count event_details transform group x,Event_Details,none,count Event_Details,bar,"x=Event_Details,y=count Event_Details,color=none",none
What's the ratio of event details in a chart?,abstract,Pie,EVENTS,local_govt_in_alabama,mark arc data events encoding x event_details y aggregate count event_details transform group x,Event_Details,none,count Event_Details,arc,"x=Event_Details,y=count Event_Details,color=none",none
"Show the team distribution for technicians, sorted by name.",abstract,Bar,technician,machine_repair,mark bar data technician encoding x team y aggregate count team transform group x sort x asc,Team,none,count Team,bar,"x=Team,y=count Team,color=none",x asc
Chart the proportion of each team's technicians.,abstract,Pie,technician,machine_repair,mark arc data technician encoding x team y aggregate count team transform group x,Team,none,count Team,arc,"x=Team,y=count Team,color=none",none
"Make a graph of the sum revenue of founders, sorted by revenue.",abstract,Bar,manufacturers,manufactory_1,mark bar data manufacturers encoding x founder y aggregate sum revenue transform group x sort x asc,"Founder,Revenue",none,sum Revenue,bar,"x=Founder,y=sum Revenue,color=none",x asc
Plot the revenue of each manufacturer from highest to lowest.,abstract,Bar,manufacturers,manufactory_1,mark bar data manufacturers encoding x name y aggregate none revenue transform sort y desc,"Name,Revenue",none,none,bar,"x=Name,y=Revenue,color=none",y desc
Display the types of products in a chart.,abstract,Bar,Products,solvency_ii,mark bar data products encoding x product_type_code y aggregate count product_type_code transform group x,Product_Type_Code,none,count Product_Type_Code,bar,"x=Product_Type_Code,y=count Product_Type_Code,color=none",none
Give me a breakdown of product types.,abstract,Pie,Products,solvency_ii,mark arc data products encoding x product_type_code y aggregate count product_type_code transform group x,Product_Type_Code,none,count Product_Type_Code,arc,"x=Product_Type_Code,y=count Product_Type_Code,color=none",none
What's the average cost of products by type?,abstract,Scatter,Products,manufactory_1,mark point data products encoding x avg(price) y aggregate none manufacturer transform group manufacturer,"Price,Manufacturer",none,avg Price,point,"x=avg Price,y=Manufacturer,color=none",none
Show me the proportion of components of furniture that have more than 10 pieces.,abstract,Pie,furniture,manufacturer,mark arc data furniture encoding x name y aggregate none num_of_component transform filter num_of_component > 10,"Name,Num_of_Component",Num_of_Component gt 10,none,arc,"x=Name,y=Num_of_Component,color=none",none
Can I see the components of each furniture item with more than 10 parts from low to high?,abstract,Bar,furniture,manufacturer,mark bar data furniture encoding x name y aggregate none num_of_component transform filter num_of_component > 10 sort y asc,"Name,Num_of_Component",Num_of_Component gt 10,none,bar,"x=Name,y=Num_of_Component,color=none",y asc
Plot the number of players with points below 30 for each position in descending order.,abstract,Bar,player,sports_competition,mark bar data player encoding x position y aggregate count position transform filter points < 30 group x sort y desc,Position,Points lt 30,count Position,bar,"x=Position,y=count Position,color=none",y desc
What's the ratio of male and female players?,abstract,Pie,player,riding_club,mark arc data player encoding x gender y aggregate count gender transform group x,Gender,none,count Gender,arc,"x=Gender,y=count Gender,color=none",none
Can I get a chart of the players by occupation with most at the top?,abstract,Bar,player,riding_club,mark bar data player encoding x occupation y aggregate count occupation transform group x sort y desc,Occupation,none,count Occupation,bar,"x=Occupation,y=count Occupation,color=none",y desc
Plot the positions with the most players at the top.,abstract,Bar,match_season,match_season,mark bar data match_season encoding x position y aggregate count position transform group x sort y desc,Position,none,count Position,bar,"x=Position,y=count Position,color=none",y desc
Can I see the draft pick numbers and classes for Defenders?,abstract,Bar,match_season,match_season,"mark bar data match_season encoding x draft_class y aggregate none draft_pick_number transform filter position = ""defender""","Draft_Class,Draft_Pick_Number","Position = ""Defender""",none,bar,"x=Draft_Class,y=Draft_Pick_Number,color=none",none
Display an overview of the positions of players.,abstract,Pie,match_season,match_season,mark arc data match_season encoding x position y aggregate count position transform group x,Position,none,count Position,arc,"x=Position,y=count Position,color=none",none
Compare the number of lenses from each brand in reverse.,abstract,Bar,camera_lens,mountain_photos,mark bar data camera_lens encoding x brand y aggregate count brand transform group x ,brand,none,count brand,bar,"x=brand,y=count brand,color=none",none
Show me the proportion of each brand.,abstract,Pie,camera_lens,mountain_photos,mark arc data camera_lens encoding x brand y aggregate count brand transform group x,brand,none,count brand,arc,"x=brand,y=count brand,color=none",none
Graph of the various colors.,abstract,Bar,photos,mountain_photos,mark bar data photos encoding x color y aggregate count color transform group x,"color,y",none,count,bar,"x=color,y=count,color=y",none
Plot the counts of each color from low to high.,abstract,Bar,photos,mountain_photos,mark bar data photos encoding x color y aggregate count color transform group x sort y asc,"color,y",none,count,bar,"x=color,y=count,color=y",y asc
What's the proportion of different hues?,abstract,Pie,photos,mountain_photos,mark arc data photos encoding x color y aggregate count color transform group x,"color,y",none,count,arc,"x=color,y=count,color=y",none
Draw a graph of those with a membership above 4.,abstract,Bar,visitor,museum_visit,mark bar data visitor encoding x name y aggregate none level_of_membership transform filter level_of_membership > 4,"Name,Level_of_membership",Level_of_membership gt 4,none,bar,"x=Name,y=Level_of_membership,color=none",none
Show me the visitors ratio with a membership level greater than 4.,abstract,Pie,visitor,museum_visit,mark arc data visitor encoding x name y aggregate none level_of_membership transform filter level_of_membership > 4,"Name,Level_of_membership",Level_of_membership gt 4,none,arc,"x=Name,y=Level_of_membership,color=none",none
Give me the percentage of songs from each format.,abstract,Pie,files,music_1,mark arc data files encoding x formats y aggregate count formats transform group x,formats,none,count formats,arc,"x=formats,y=count formats,color=none",none
Plot the sorted average rating of songs by language.,abstract,Bar,song,music_1,mark bar data song encoding x languages y aggregate mean rating transform group x sort y desc,"languages,rating",none,mean rating,bar,"x=languages,y=mean rating,color=none",y desc
Display average song ratings by language.,abstract,Bar,song,music_1,mark bar data song encoding x languages y aggregate mean rating transform group x,"languages,rating",none,mean rating,bar,"x=languages,y=mean rating,color=none",none
Show me a breakdown of song average ratings by language.,abstract,Pie,song,music_1,mark arc data song encoding x languages y aggregate mean rating transform group x,"languages,rating",none,mean rating,arc,"x=languages,y=mean rating,color=none",none
Generate a chart of the sorted categories of music festivals with the result awarded. ,abstract,Bar,music_festival,music_4,"mark bar data music_festival encoding x category y aggregate count category transform filter result = ""awarded"" group x sort y asc",Category,"Result = ""Awarded""",count Category,bar,"x=Category,y=count Category,color=none",y asc
What's the ratio of music festival types that have been awarded?,abstract,Pie,music_festival,music_4,"mark arc data music_festival encoding x category y aggregate count category transform filter result = ""awarded"" group x",Category,"Result = ""Awarded""",count Category,arc,"x=Category,y=count Category,color=none",none
Give me a breakdown of the results of the music festivals.,abstract,Pie,music_festival,music_4,mark arc data music_festival encoding x result y aggregate count result transform group x,Result,none,count Result,arc,"x=Result,y=count Result,color=none",none
Generate a graph of non-US artists by year in order.,abstract,Bar,artist,theme_gallery,mark bar data artist encoding x year_join y aggregate count year_join transform filter country != 'united states' group x sort y asc,Year_Join,Country != 'United States',count Year_Join,bar,"x=Year_Join,y=count Year_Join,color=none",y asc
What is the percentage of countries in the artist table?,abstract,Pie,artist,theme_gallery,mark arc data artist encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
Plot the year of the non-US artists when they joined in ascending order.,abstract,Stacked Bar,artist,theme_gallery,mark bar data artist encoding x year_join y aggregate count year_join transform filter country != 'united states' group name sort y asc,"Year_Join,Name",Country != 'United States',count Year_Join,bar,"x=Year_Join,y=count Year_Join,color=Name",y asc
Plot the average grades for each name.,abstract,Bar,Highschooler,network_1,mark bar data highschooler encoding x name y aggregate mean grade transform group x,"name,grade",none,mean grade,bar,"x=name,y=mean grade,color=none",none
Draw the number of people under 40 by gender.,abstract,Bar,Person,network_2,mark bar data person encoding x gender y aggregate count gender transform filter age < 40 group x,gender,age lt 40,count gender,bar,"x=gender,y=count gender,color=none",none
Make me a bar graph for the reversely sorted average age per nationality.,abstract,Bar,journalist,news_report,mark bar data journalist encoding x nationality y aggregate mean age transform group x sort y desc,"Nationality,Age",none,mean Age,bar,"x=Nationality,y=mean Age,color=none",y desc
Illustrate the number of journalists by nationality on a graph.,abstract,Bar,journalist,news_report,mark bar data journalist encoding x nationality y aggregate count nationality transform group x,Nationality,none,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",none
Chart the different party locations.,abstract,Bar,party,party_host,mark bar data party encoding x location y aggregate count location transform group x,Location,none,count Location,bar,"x=Location,y=count Location,color=none",none
Illustrate the proportion of ministers.,abstract,Pie,party,party_people,mark arc data party encoding x minister y aggregate count minister transform group x,Minister,none,count Minister,arc,"x=Minister,y=count Minister,color=none",none
Plot the number of hosts per nationality in order.,abstract,Bar,HOST,party_host,mark bar data host encoding x nationality y aggregate count nationality transform group x sort y asc,Nationality,none,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",y asc
Visualize the host numbers by nationality.,abstract,Bar,HOST,party_host,mark bar data host encoding x nationality y aggregate count nationality transform group x,Nationality,none,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",none
Draw the hosts ratio of each nationality.,abstract,Pie,HOST,party_host,mark arc data host encoding x nationality y aggregate count nationality transform group x,Nationality,none,count Nationality,arc,"x=Nationality,y=count Nationality,color=none",none
Rank the number of each location in a graph.,abstract,Bar,performance,performance_attendance,mark bar data performance encoding x location y aggregate count location transform group x ,Location,none,count Location,bar,"x=Location,y=count Location,color=none",none
Graph of the attendance per location.,abstract,Pie,performance,performance_attendance,mark arc data performance encoding x location y aggregate count location transform group x,Location,none,count Location,arc,"x=Location,y=count Location,color=none",none
How does the proportion of countries?,abstract,Pie,perpetrator,perpetrator,mark arc data perpetrator encoding x country y aggregate count country transform group x,Country,none,count Country,arc,"x=Country,y=count Country,color=none",none
Show me the proportion of average age for pets.,abstract,Pie,pets,pets_1,mark arc data pets encoding x pettype y aggregate mean pet_age transform group x,"PetType,pet_age",none,mean pet_age,arc,"x=PetType,y=mean pet_age,color=none",none
Break down the average age of pets in a graph.,abstract,Pie,pets,pets_1,mark arc data pets encoding x pettype y aggregate mean pet_age transform group x,"PetType,pet_age",none,mean pet_age,arc,"x=PetType,y=mean pet_age,color=none",none
"From most to least, I need a graph of the average memories and carriers of phones.",abstract,Bar,phone,phone_market,mark bar data phone encoding x carrier y aggregate mean memory_in_g transform group x sort x desc,"Carrier,Memory_in_G",none,mean Memory_in_G,bar,"x=Carrier,y=mean Memory_in_G,color=none",x desc
Give a graph of the phone's average memory by carrier.,abstract,Bar,phone,phone_market,mark bar data phone encoding x carrier y aggregate mean memory_in_g transform group x,"Carrier,Memory_in_G",none,mean Memory_in_G,bar,"x=Carrier,y=mean Memory_in_G,color=none",none
Chart the percentage of phones by carrier.,abstract,Pie,phone,phone_market,mark arc data phone encoding x carrier y aggregate count carrier transform group x,Carrier,none,count Carrier,arc,"x=Carrier,y=count Carrier,color=none",none
Draw a bar graph to compare the number of pilots by position.,abstract,Bar,pilot,pilot_record,mark bar data pilot encoding x position y aggregate count position transform group x ,Position,none,count Position,bar,"x=Position,y=count Position,color=none",none
Give me a ratio of the nationalities of pilots.,abstract,Pie,pilot,pilot_record,mark arc data pilot encoding x nationality y aggregate count nationality transform group x,Nationality,none,count Nationality,arc,"x=Nationality,y=count Nationality,color=none",none
Graph the relationship between the final tables made and the best finishes.,abstract,Scatter,poker_player,poker_player,mark point data poker_player encoding x final_table_made y aggregate none best_finish,"Final_Table_Made,Best_Finish",none,none,point,"x=Final_Table_Made,y=Best_Finish,color=none",none
What's the proportion of items capacity with prices over 700?,abstract,Pie,Catalog_Contents,product_catalog,mark arc data catalog_contents encoding x catalog_entry_name y aggregate none capacity transform filter price_in_dollars > 700,"catalog_entry_name,capacity",price_in_dollars gt 700,none,arc,"x=catalog_entry_name,y=capacity,color=none",none
Graph total ratings of each channel by owner in order.,abstract,Bar,channel,program_share,mark bar data channel encoding x owner y aggregate sum rating_in_percent transform group x sort y asc,"Owner,Rating_in_percent",none,sum Rating_in_percent,bar,"x=Owner,y=sum Rating_in_percent,color=none",y asc
Plot the rating ratio of the channels.,abstract,Pie,channel,program_share,mark arc data channel encoding x owner y aggregate sum rating_in_percent transform group x,"Owner,Rating_in_percent",none,sum Rating_in_percent,arc,"x=Owner,y=sum Rating_in_percent,color=none",none
Show me the number of students enrolled at each type of institution.,abstract,Bar,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none
What are the enrollment numbers for each type of university?,abstract,Bar,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none
Make a graph of the enrollment for each type of institution.,abstract,Bar,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none
Could I see the enrollment of each type of school?,abstract,Bar,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none
Can I get a chart of the enrollment for different institution types?,abstract,Bar,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none
Show me how the total enrollment is divided among institution types.,abstract,Pie,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none
What's the breakdown of enrollment into different types of institutions?,abstract,Pie,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none
Can I see a graph of the enrollment split by institution type?,abstract,Pie,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none
Can you give me a visual representation of the enrollment by institution type?,abstract,Pie,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none
Make me a chart of the enrollment by institution type.,abstract,Pie,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",none,sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none
Show me a chart where the floor numbers of the buildings are compared.,abstract,Bar,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,none,bar,"x=Name,y=Floors,color=none",none
What do the buildings look like in terms of number of floors?,abstract,Bar,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,none,bar,"x=Name,y=Floors,color=none",none
How does the number of floors vary for each building?,abstract,Bar,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,none,bar,"x=Name,y=Floors,color=none",none
Display the floor counts for each building.,abstract,Bar,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,none,bar,"x=Name,y=Floors,color=none",none
"What are the various racing classes, and how many are there? What is the breakdown of the different racing classes?",abstract,Pie,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,none,count Class,arc,"x=Class,y=count Class,color=none",none
What is the count for each type of race?,abstract,Pie,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,none,count Class,arc,"x=Class,y=count Class,color=none",none
What's the distribution of race classes?,abstract,Pie,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,none,count Class,arc,"x=Class,y=count Class,color=none",none
