nl,nl type,chart,hardness,table name,database,label,column,aggregate,mark,encoding,sort,filter
Generate a chart of the sorted categories of music festivals with result awarded. ,abstract,Bar,Hard,music_festival,music_4,"mark bar data music_festival encoding x category y aggregate count category transform filter result = ""awarded"" group x sort y asc",Category,count Category,bar,"x=Category,y=count Category,color=none",y asc,"Result = ""Awarded"""
What's the ratio of music festival types that have been awarded?,abstract,Pie,Medium,music_festival,music_4,"mark arc data music_festival encoding x category y aggregate count category transform filter result = ""awarded"" group x",Category,count Category,arc,"x=Category,y=count Category,color=none",none,"Result = ""Awarded"""
Give me a breakdown of the results of the music festivals.,abstract,Pie,Easy,music_festival,music_4,mark arc data music_festival encoding x result y aggregate count result transform group x,Result,count Result,arc,"x=Result,y=count Result,color=none",none,none
Generate a graph of non-US artists  by year in ordered.,abstract,Bar,Medium,artist,theme_gallery,mark bar data artist encoding x year_join y aggregate count year_join transform filter country != 'united states' group x sort y asc,Year_Join,count Year_Join,bar,"x=Year_Join,y=count Year_Join,color=none",y asc,Country != 'United States'
What is the percentage of countries in the artist table?,abstract,Pie,Easy,artist,theme_gallery,mark arc data artist encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
Plot the year of the non-US artists when they joined in ascending order.,abstract,Stacked Bar,Hard,artist,theme_gallery,mark bar data artist encoding x year_join y aggregate count year_join transform filter country != 'united states' group name sort y asc,"Year_Join,Name",count Year_Join,bar,"x=Year_Join,y=count Year_Join,color=Name",y asc,Country != 'United States'
Plot the average grades for each name.,abstract,Bar,Easy,Highschooler,network_1,mark bar data highschooler encoding x name y aggregate mean grade transform group x,"name,grade",mean grade,bar,"x=name,y=mean grade,color=none",none,none
Draw the amount of people under 40 by gender.,abstract,Bar,Medium,Person,network_2,mark bar data person encoding x gender y aggregate count gender transform filter age < 40 group x,gender,count gender,bar,"x=gender,y=count gender,color=none",none,age lt 40
Make me a bar graph for the reversely sorted average age per nationality.,abstract,Bar,Medium,journalist,news_report,mark bar data journalist encoding x nationality y aggregate mean age transform group x sort y desc,"Nationality,Age",mean Age,bar,"x=Nationality,y=mean Age,color=none",y desc,none
Illustrate the number of journalists by nationality on a graph.,abstract,Bar,Easy,journalist,news_report,mark bar data journalist encoding x nationality y aggregate count nationality transform group x,Nationality,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",none,none
Chart the different party locations.,abstract,Bar,Easy,party,party_host,mark bar data party encoding x location y aggregate count location transform group x,Location,count Location,bar,"x=Location,y=count Location,color=none",none,none
Illustrate the proportion of ministers.,abstract,Pie,Easy,party,party_people,mark arc data party encoding x minister y aggregate count minister transform group x,Minister,count Minister,arc,"x=Minister,y=count Minister,color=none",none,none
Plot the amount of hosts per nationality in order.,abstract,Bar,Medium,HOST,party_host,mark bar data host encoding x nationality y aggregate count nationality transform group x sort y asc,Nationality,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",y asc,none
Visualize the host numbers  by nationality.,abstract,Bar,Easy,HOST,party_host,mark bar data host encoding x nationality y aggregate count nationality transform group x,Nationality,count Nationality,bar,"x=Nationality,y=count Nationality,color=none",none,none
Draw the hosts ratio of each nationality.,abstract,Pie,Easy,HOST,party_host,mark arc data host encoding x nationality y aggregate count nationality transform group x,Nationality,count Nationality,arc,"x=Nationality,y=count Nationality,color=none",none,none
Rank the number of each location in a graph.,abstract,Bar,Medium,performance,performance_attendance,mark bar data performance encoding x location y aggregate count location transform group x ,Location,count Location,bar,"x=Location,y=count Location,color=none",none,none
Graph of the attendance per location.,abstract,Pie,Easy,performance,performance_attendance,mark arc data performance encoding x location y aggregate count location transform group x,Location,count Location,arc,"x=Location,y=count Location,color=none",none,none
How does the proportion of countries?,abstract,Pie,Easy,perpetrator,perpetrator,mark arc data perpetrator encoding x country y aggregate count country transform group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,none
Show me the proportion of avg age for pets.,abstract,Pie,Easy,pets,pets_1,mark arc data pets encoding x pettype y aggregate mean pet_age transform group x,"PetType,pet_age",mean pet_age,arc,"x=PetType,y=mean pet_age,color=none",none,none
 Break down the avg age of pets in a graph.,abstract,Pie,Easy,pets,pets_1,mark arc data pets encoding x pettype y aggregate mean pet_age transform group x,"PetType,pet_age",mean pet_age,arc,"x=PetType,y=mean pet_age,color=none",none,none
"I need a graph of the avg memories and carriers of phones, from most to least.",abstract,Bar,Medium,phone,phone_market,mark bar data phone encoding x carrier y aggregate mean memory_in_g transform group x sort x desc,"Carrier,Memory_in_G",mean Memory_in_G,bar,"x=Carrier,y=mean Memory_in_G,color=none",x desc,none
Give a graph of phone avg memory by carrier.,abstract,Bar,Easy,phone,phone_market,mark bar data phone encoding x carrier y aggregate mean memory_in_g transform group x,"Carrier,Memory_in_G",mean Memory_in_G,bar,"x=Carrier,y=mean Memory_in_G,color=none",none,none
Chart the percentage of phones by carrier.,abstract,Pie,Easy,phone,phone_market,mark arc data phone encoding x carrier y aggregate count carrier transform group x,Carrier,count Carrier,arc,"x=Carrier,y=count Carrier,color=none",none,none
Draw a bar graph to compare the number of pilots by position.,abstract,Bar,Medium,pilot,pilot_record,mark bar data pilot encoding x position y aggregate count position transform group x ,Position,count Position,bar,"x=Position,y=count Position,color=none",none,none
Give me a ratio of the nationalities of pilots.,abstract,Pie,Easy,pilot,pilot_record,mark arc data pilot encoding x nationality y aggregate count nationality transform group x,Nationality,count Nationality,arc,"x=Nationality,y=count Nationality,color=none",none,none
Graph the relationship between final tables made and best finishes.,abstract,Scatter,Easy,poker_player,poker_player,mark point data poker_player encoding x final_table_made y aggregate none best_finish,"Final_Table_Made,Best_Finish",none,point,"x=Final_Table_Made,y=Best_Finish,color=none",none,none
What's the proportion of items capacity with prices over 700?,abstract,Pie,Easy,Catalog_Contents,product_catalog,mark arc data catalog_contents encoding x catalog_entry_name y aggregate none capacity transform filter price_in_dollars > 700,"catalog_entry_name,capacity",none,arc,"x=catalog_entry_name,y=capacity,color=none",none,price_in_dollars gt 700
Graph total ratings of each channel by owner in order.,abstract,Bar,Medium,channel,program_share,mark bar data channel encoding x owner y aggregate sum rating_in_percent transform group x sort y asc,"Owner,Rating_in_percent",sum Rating_in_percent,bar,"x=Owner,y=sum Rating_in_percent,color=none",y asc,none
Plot the rating ratio of the channels.,abstract,Pie,Easy,channel,program_share,mark arc data channel encoding x owner y aggregate sum rating_in_percent transform group x,"Owner,Rating_in_percent",sum Rating_in_percent,arc,"x=Owner,y=sum Rating_in_percent,color=none",none,none
Show me the number of students enrolled at each type of institution.,abstract,Bar,Easy,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none,none
What are the enrollment numbers for each type of university?,abstract,Bar,Easy,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none,none
Make a graph of the enrollment for each type of institution.,abstract,Bar,Easy,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none,none
Could I see the enrollment of each type of school?,abstract,Bar,Easy,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none,none
Can I get a chart of the enrollment for different institution types?,abstract,Bar,Easy,institution,protein_institute,mark bar data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,bar,"x=Type,y=sum Enrollment,color=none",none,none
Show me how the total enrollment is divided among institution types.,abstract,Pie,Easy,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none,none
What's the breakdown of enrollment into different types of institutions?,abstract,Pie,Easy,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none,none
Can I see a graph of the enrollment split by institution type?,abstract,Pie,Easy,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none,none
Can you give me a visual representation of the enrollment by institution type?,abstract,Pie,Easy,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none,none
Make me a chart of the enrollment by institution type.,abstract,Pie,Easy,institution,protein_institute,mark arc data institution encoding x type y aggregate sum enrollment transform group x,"Type,Enrollment",sum Enrollment,arc,"x=Type,y=sum Enrollment,color=none",none,none
Show me a chart where the floor number of the buildings is compared.,abstract,Bar,Easy,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,bar,"x=Name,y=Floors,color=none",none,none
What do the buildings look like in terms of number of floors?,abstract,Bar,Easy,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,bar,"x=Name,y=Floors,color=none",none,none
How does the number of floors vary for each building?,abstract,Bar,Easy,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,bar,"x=Name,y=Floors,color=none",none,none
Display the floor counts for each building.,abstract,Bar,Easy,building,protein_institute,mark bar data building encoding x name y aggregate none floors transform ,"Name,Floors",none,bar,"x=Name,y=Floors,color=none",none,none
What are the various racing classes and how many are there?What is the breakdown of the different racing classes?,abstract,Pie,Easy,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,count Class,arc,"x=Class,y=count Class,color=none",none,none
What is the count for each type of race?,abstract,Pie,Easy,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,count Class,arc,"x=Class,y=count Class,color=none",none,none
What's the distribution of race classes?,abstract,Pie,Easy,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,count Class,arc,"x=Class,y=count Class,color=none",none,none
Give me the proportion of different classes of races.,abstract,Pie,Easy,race,race_track,mark arc data race encoding x class y aggregate count class transform group x,Class,count Class,arc,"x=Class,y=count Class,color=none",none,none
"What are the names and seatings of tracks opened after 2000, ordered by seating?",abstract,Bar,Medium,track,race_track,mark bar data track encoding x name y aggregate none seating transform filter year_opened > 2000 sort y,"Name,Seating",none,bar,"x=Name,y=Seating,color=none",y asc,Year_Opened gt 2000
Display the names and seatings of tracks opened post-2000 by seating.,abstract,Bar,Medium,track,race_track,mark bar data track encoding x name y aggregate none seating transform filter year_opened > 2000 ,"Name,Seating",none,bar,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
"Give me the seatings of tracks with a Year_Opened after 2000, presented in a bar chart.",abstract,Bar,Medium,track,race_track,mark bar data track encoding x name y aggregate none seating transform filter year_opened > 2000 ,"Name,Seating",none,bar,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
"Plot the seatings of tracks opened after 2000, organized by seating.",abstract,Bar,Medium,track,race_track,mark bar data track encoding x name y aggregate none seating transform filter year_opened > 2000 ,"Name,Seating",none,bar,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
Can you tell me the names and seatings of tracks opened after 2000?,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
What percentage of tracks opened after 2000 have what seatings?,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
Show me the seating capacity for tracks opened after 2000.,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
What information do you have about tracks opened after 2000?,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
What's the seating capacity of tracks opened after 2000?,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
What are the seatings of tracks opened after the year 2000?,abstract,Pie,Easy,track,race_track,mark arc data track encoding x name y aggregate none seating transform filter year_opened > 2000,"Name,Seating",none,arc,"x=Name,y=Seating,color=none",none,Year_Opened gt 2000
How many countries have managers aged over 50 or under 46?,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
What countries have managers aged 50 or younger/older?,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Show me which countries have managers aged either over 50 or under 46.,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Give me a list of countries with managers aged 50 or above/below.,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
What countries have managers aged over 50 or below 46?,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Can you tell me which countries have managers aged over 50 or under 46?,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Can you show me the countries with managers aged 50 or below/above?,abstract,Bar,Extra Hard,manager,railway,mark bar data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x ,Country,count Country,bar,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
How many countries have managers aged over 50 or below 46?,abstract,Pie,Hard,manager,railway,mark arc data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
What countries have managers younger than 46 or older than 50?,abstract,Pie,Hard,manager,railway,mark arc data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Do any countries have managers under the age of 46 or over 50?,abstract,Pie,Hard,manager,railway,mark arc data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Which countries have managers either above 50 or below 46?,abstract,Pie,Hard,manager,railway,mark arc data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
Where are the countries with managers aged over 50 or below 46?,abstract,Pie,Hard,manager,railway,mark arc data manager encoding x country y aggregate count country transform filter age > 50 or age < 46 group x,Country,count Country,arc,"x=Country,y=count Country,color=none",none,Age gt 50 or Age lt 46
What trains can I take to get to Chennai? ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
What are the train times to Chennai? ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
What is the number of trains that go to Chennai? ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
Show me the proportion of trains that go to Chennai. ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
Do you have a chart of the train times and numbers to Chennai? ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
Can I see a visualization of the train times and numbers to Chennai? ,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
What is the distribution of trains to Chennai?,abstract,Pie,Easy,train,station_weather,mark arc data train encoding x time y aggregate none train_number transform filter destination = 'chennai',"time,train_number",none,arc,"x=time,y=train_number,color=none",none,destination = 'Chennai'
Show me the lengths and heights of roller coasters.,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
What are the heights and lengths of roller coasters?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
What is the range of lengths and heights of roller coasters?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
What do the lengths and heights of roller coasters look like?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
What is the relationship between heights and lengths of roller coasters?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
Can you plot the heights and lengths of roller coasters?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
Can you display the heights and lengths of roller coasters in a chart?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
Can you show me a chart with the heights and lengths of roller coasters?,abstract,Scatter,Easy,roller_coaster,roller_coaster,mark point data roller_coaster encoding x length y aggregate none height,"Length,Height",none,point,"x=Length,y=Height,color=none",none,none
Show me the amount of drivers in each party. ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
How many drivers are in each political party? ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
What is the distribution of drivers across parties? ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
What's the breakdown of drivers by party? ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
Give me a breakdown of drivers by party. ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
Can you tell me the number of drivers in each party? ,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
What are the amounts of drivers for each party?,abstract,Bar,Medium,driver,school_bus,mark bar data driver encoding x party y aggregate count party transform group x ,Party,count Party,bar,"x=Party,y=count Party,color=none",none,none
Can you show me the proportion of drivers for each party?,abstract,Pie,Easy,driver,school_bus,mark arc data driver encoding x party y aggregate count party transform group x,Party,count Party,arc,"x=Party,y=count Party,color=none",none,none
What's the breakdown of drivers by political party?,abstract,Pie,Easy,driver,school_bus,mark arc data driver encoding x party y aggregate count party transform group x,Party,count Party,arc,"x=Party,y=count Party,color=none",none,none
Show me the distribution of parties for the drivers.,abstract,Pie,Easy,driver,school_bus,mark arc data driver encoding x party y aggregate count party transform group x,Party,count Party,arc,"x=Party,y=count Party,color=none",none,none
Give me a visualization of the parties represented by drivers.,abstract,Pie,Easy,driver,school_bus,mark arc data driver encoding x party y aggregate count party transform group x,Party,count Party,arc,"x=Party,y=count Party,color=none",none,none
What does the pie chart look like for the drivers' political parties?,abstract,Pie,Easy,driver,school_bus,mark arc data driver encoding x party y aggregate count party transform group x,Party,count Party,arc,"x=Party,y=count Party,color=none",none,none
Show me the endowment amounts by donator in a bar graph. ,abstract,Bar,Medium,endowment,school_finance,mark bar data endowment encoding x donator_name y aggregate sum amount transform group x ,"donator_name,amount",sum amount,bar,"x=donator_name,y=sum amount,color=none",none,none
Graph the endowment amounts in descending order of donator. ,abstract,Bar,Medium,endowment,school_finance,mark bar data endowment encoding x donator_name y aggregate sum amount transform group x sort y desc,"donator_name,amount",sum amount,bar,"x=donator_name,y=sum amount,color=none",y desc,none
Show me the donator's endowment amounts in a chart. ,abstract,Bar,Medium,endowment,school_finance,mark bar data endowment encoding x donator_name y aggregate sum amount transform group x ,"donator_name,amount",sum amount,bar,"x=donator_name,y=sum amount,color=none",none,none
Plot the endowment amounts by donator. ,abstract,Bar,Medium,endowment,school_finance,mark bar data endowment encoding x donator_name y aggregate sum amount transform group x ,"donator_name,amount",sum amount,bar,"x=donator_name,y=sum amount,color=none",none,none
Can you show me the endowment amounts sorted by donator?,abstract,Bar,Medium,endowment,school_finance,mark bar data endowment encoding x donator_name y aggregate sum amount transform group x sort y desc,"donator_name,amount",sum amount,bar,"x=donator_name,y=sum amount,color=none",y desc,none
Can I get a chart that shows how many students are enrolled in each county?,abstract,Bar,Medium,school,school_finance,mark bar data school encoding x county y aggregate sum enrollment transform group x ,"County,Enrollment",sum Enrollment,bar,"x=County,y=sum Enrollment,color=none",none,none
Can I see a graph of the enrollment for each county?,abstract,Bar,Medium,school,school_finance,mark bar data school encoding x county y aggregate sum enrollment transform group x ,"County,Enrollment",sum Enrollment,bar,"x=County,y=sum Enrollment,color=none",none,none
Can I have a bar chart comparing the enrollment in each county?,abstract,Bar,Medium,school,school_finance,mark bar data school encoding x county y aggregate sum enrollment transform group x ,"County,Enrollment",sum Enrollment,bar,"x=County,y=sum Enrollment,color=none",none,none
Show me how many students are enrolled in each county?,abstract,Bar,Medium,school,school_finance,mark bar data school encoding x county y aggregate sum enrollment transform group x ,"County,Enrollment",sum Enrollment,bar,"x=County,y=sum Enrollment,color=none",none,none
Present me with a bar chart of the enrollment for each county?,abstract,Bar,Medium,school,school_finance,mark bar data school encoding x county y aggregate sum enrollment transform group x ,"County,Enrollment",sum Enrollment,bar,"x=County,y=sum Enrollment,color=none",none,none
Show me the average age of captains in the different classes.,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What's the average age of captains by class?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What is the average age of captains across classes?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What is the average age of captains grouped by class?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What's the average age of captains in each class?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What is the age range of captains by class?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
What is the distribution of ages in each class?,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
Chart the age of captains by class.,abstract,Bar,Easy,captain,ship_1,mark bar data captain encoding x class y aggregate mean age transform group x,"Class,age",mean age,bar,"x=Class,y=mean age,color=none",none,none
Compare avg and min age of captains in each class.,abstract,Scatter,Easy,captain,ship_1,mark point data captain encoding x avg(age) y aggregate min age transform group class,age,"avg age,min age",point,"x=avg age,y=min age,color=none",none,none
Show me the rank of the captains.,abstract,Pie,Easy,captain,ship_1,mark arc data captain encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
What are the captains' ranks?,abstract,Pie,Easy,captain,ship_1,mark arc data captain encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
Draw a picture of the ranks of the captains.,abstract,Pie,Easy,captain,ship_1,mark arc data captain encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
Give me a chart of the number of captains by rank.,abstract,Pie,Easy,captain,ship_1,mark arc data captain encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
Pie chart of the captains' ranks.,abstract,Pie,Easy,captain,ship_1,mark arc data captain encoding x rank y aggregate count rank transform group x,Rank,count Rank,arc,"x=Rank,y=count Rank,color=none",none,none
Can I see the number of ship types in a bar chart with X axis in descending order?,abstract,Bar,Medium,ship,ship_mission,mark bar data ship encoding x type y aggregate count type transform group x sort x desc,Type,count Type,bar,"x=Type,y=count Type,color=none",x desc,none
"What's the distribution of ship types? Show me a bar graph, sorted in desc order.",abstract,Bar,Medium,ship,ship_mission,mark bar data ship encoding x type y aggregate count type transform group x sort x desc,Type,count Type,bar,"x=Type,y=count Type,color=none",x desc,none
"Give me a visual of the ship type breakdown, arranged in descending order.",abstract,Bar,Medium,ship,ship_mission,mark bar data ship encoding x type y aggregate count type transform group x sort x desc,Type,count Type,bar,"x=Type,y=count Type,color=none",x desc,none
"Graph the different types of ships, sorted in descending order.",abstract,Bar,Medium,ship,ship_mission,mark bar data ship encoding x type y aggregate count type transform group x sort x desc,Type,count Type,bar,"x=Type,y=count Type,color=none",x desc,none
Show what types of ships are there and the quantity of each type in a graphical representation.,abstract,Pie,Easy,ship,ship_mission,mark arc data ship encoding x type y aggregate count type transform group x,Type,count Type,arc,"x=Type,y=count Type,color=none",none,none
How many ships of each type are there? Display it graphically.,abstract,Pie,Easy,ship,ship_mission,mark arc data ship encoding x type y aggregate count type transform group x,Type,count Type,arc,"x=Type,y=count Type,color=none",none,none
Create a chart with the amount of ships for each type.,abstract,Pie,Easy,ship,ship_mission,mark arc data ship encoding x type y aggregate count type transform group x,Type,count Type,arc,"x=Type,y=count Type,color=none",none,none
Provide a visual representation of the number of ships for each type.,abstract,Pie,Easy,ship,ship_mission,mark arc data ship encoding x type y aggregate count type transform group x,Type,count Type,arc,"x=Type,y=count Type,color=none",none,none
Can you show me the distribution of fates in a chart?,abstract,Bar,Easy,mission,ship_mission,mark bar data mission encoding x fate y aggregate count fate transform group x ,Fate,count Fate,bar,"x=Fate,y=count Fate,color=none",none,none
Draw me the fate of each mission in a graph.,abstract,Bar,Easy,mission,ship_mission,mark bar data mission encoding x fate y aggregate count fate transform group x ,Fate,count Fate,bar,"x=Fate,y=count Fate,color=none",none,none
"Plot the fate of missions in a graph, please.",abstract,Bar,Easy,mission,ship_mission,mark bar data mission encoding x fate y aggregate count fate transform group x ,Fate,count Fate,bar,"x=Fate,y=count Fate,color=none",none,none
